cluster	geneID	annotation	relation
19	BA1834	polysaccharide.biosynthesis.family.protein	3
19	BA1965	conserved.hypothetical.protein	2
19	BA2929	"flavoprotein,.putative"	1
19	BA3061	"transporter,.EamA.family"	2
19	BA3545	"phosphoglycerate.mutase,.putative"	2
19	BA3609	aldehyde.dehydrogenase	1
19	BA3971	DNA.topoisomerase.I	1
19	BA4325	"membrane.protein,.putative"	1
20	BA0052	transcription-repair.coupling.factor	1
20	BA0254	"transcriptional.regulator,.PemK.family"	2
20	BA0501	"PTS.system,.N-acetylglucosamine-specific.IIBC.component,.putative"	1
20	BA0516	recX.domain.protein	1
20	BA0615	"iron.compou-999.ABC.transporter,.iron.compou-999-bi-999ing.protein"	1
20	BA0705	conserved.hypothetical.protein	2
20	BA0720	CBS.domain.protein	1
20	BA0827	conserved.hypothetical.protein	1
20	BA0857	"amino.acid.ABC.transporter,.ATP-bi-999ing.protein"	1
20	BA1323	"potassium.uptake.protein,.TrkH.family"	1
20	BA1404	conserved.hypothetical.protein	1
20	BA1563	pantoate--beta-alanine.ligase	1
20	BA1821	conserved.domain.protein	1
20	BA1886	"membrane.protein,.putative,.authentic.point.mutation"	1
20	BA2136	"molybdopterin.converting.factor,.subunit.2"	1
20	BA2864	"acetyltransferase,.GNAT.family"	3
20	BA2884	conserved.hypothetical.protein	1
20	BA2924	"transcriptional.regulator,.TetR.family"	1
20	BA3087	"penicillin-bi-999ing.protein,.authentic.frameshift"	4
20	BA3428	gluconate.kinase	1
20	BA3431	6-phosphogluconate.dehydrogenase.family.protein	1
20	BA3519	conserved.hypothetical.protein	1
20	BA3567	conserved.hypothetical.protein	2
20	BA3612	squalene-hopene.cyclase	2
20	BA3920	conserved.hypothetical.protein	2
20	BA3943	"polysaccharide.deacetylase,.putative"	2
20	BA4450	"helicase,.putative"	2
20	BA4512	conserved.hypothetical.protein.TIGR00486	1
20	BA4779	conserved.hypothetical.protein	1
20	BA4833	DNA-bi-999ing.response.regulator.PhoP	1
20	BA4951	conserved.hypothetical.protein	1
20	BA4961	"drug.resistance.transporter,.EmrB/QacA.family"	1
21	BA5432	"transcription.antiterminator,.LytR.family"	1
21	BA5558	serine.hydroxymethyltransferase	1
21	BA5684	"glycosyl.transferase,.group.2.family.protein"	2
21	BA0085	"2C-methyl-D-erythritol.2,4-cyclodiphosphate.synthase"	4
21	BA0148	spore.germination.protein.GerD	2
21	BA0175	"ABC.transporter,.substrate-bi-999ing.protein,.putative"	3
21	BA0208	"transcriptional.regulator,.LysR.family"	1
21	BA0233	"oligopeptide.ABC.transporter,.permease.protein"	1
21	BA0246	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanyl.ligase"	1
21	BA0849	"glyceraldehyde-3-phosphate.dehydrogenase,.NADP-depe-999ent"	1
21	BA2705	e-999o/excinuclease.amino.terminal.domain.protein	3
21	BA3052	"ABC.transporter,.ATP-bi-999ing.protein"	3
21	BA3279	"membrane.protein,.putative"	3
21	BA3473	AMP-bi-999ing.protein	4
21	BA4031	"ribosomal.large.subunit.pseudouridine.synthase,.RluD.subfamily"	1
21	BA4159	conserved.hypothetical.protein	1
21	BA4423	"3-dehydroquinate.dehydratase,.type.II"	2
21	BA4424	conserved.hypothetical.protein	3
21	BA4427	"hydrolase,.haloacid.dehalogenase-like.family"	3
21	BA4606	penicillin-bi-999ing.protein	2
21	BA4609	"peptidase,.U32.family"	1
21	BA5133	"aminotransferase,.classes.I.a-999.II"	1
21	BA5305	conserved.domain.protein	1
22	BA5453	conserved.hypothetical.protein	1
22	BA5563	"PTS.system,.glucose-specific.IIA.component,.putative"	1
22	BA0089	cysteinyl-tRNA.synthetase	1
22	BA0091	"RNA.methyltransferase,.TrmH.family,.group.3"	1
22	BA0255	S1.RNA.bi-999ing.domain.protein	3
22	BA0354	"DNA.bi-999ing.domain,.excisionase.family"	1
22	BA0390	major.facilitator.family.transporter	1
22	BA0408	conserved.hypothetical.protein	1
22	BA0411	"transporter,.EamA.family"	1
22	BA1081	conserved.hypothetical.protein	1
22	BA1085	"acetyltransferase,.GNAT.family"	1
22	BA1112	conserved.hypothetical.protein	1
22	BA1139	conserved.hypothetical.protein	1
22	BA1462	"methlytransferase,.UbiE/COQ5.family"	1
22	BA1465	"membrane.protein,.putative"	1
22	BA1484	"transposase,.IS605.family"	1
22	BA1606	5'-3'.exonuclease.family.protein	1
22	BA1738	conserved.domain.protein	1
22	BA2063	branched-chain.amino.acid.transport.system.II.carrier.protein	1
22	BA2144	"uroporphyrin-III.C-methyltransferase,.putative"	4
22	BA2298	"acetyltransferase,.GNAT.family"	1
22	BA2379	"DNA.polymerase,.DinB.family"	1
22	BA2389	"ABC.transporter,.ATP-bi-999ing.protein,.authentic.point.mutation"	1
22	BA2405	"hydrolase,.putative"	1
22	BA2547	acyl-CoA.dehydrogenase	1
22	BA2561	DNA-bi-999ing.response.regulator	1
22	BA2565	conserved.hypothetical.protein	1
22	BA2566	"acetyltransferase,.GNAT.family"	1
22	BA2572	"excinuclease.ABC,.A.subunit-related.protein"	1
22	BA2718	conserved.hypothetical.protein	1
22	BA3106	conserved.hypothetical.protein	1
22	BA3159	conserved.hypothetical.protein	1
22	BA3167	isochorismatase.family.protein	1
22	BA3170	"transcriptional.regulator,.LysR.family"	1
22	BA3212	"transcriptional.regulator,.AraC.family,.authentic.frameshift"	1
22	BA3213	amino.acid.permease.family.protein	1
22	BA3258	"permease,.putative"	1
22	BA3288	impB/mucB/samB.family.protein	1
22	BA3554	"penicillin-bi-999ing.protein,.putative"	1
22	BA3685	mutT/nudix.family.protein	1
22	BA3837	GTP-bi-999ing.protein	1
22	BA3906	spore.coat.protein.E	1
22	BA4014	"proline.dipeptidase,.putative"	1
22	BA4057	S-adenosyl-methyltransferase.MraW	1
22	BA4129	conserved.domain.protein	1
22	BA4345	Na+/H+.antiporter.NhaC	1
22	BA4359	pyrroline-5-carboxylate.reductase	1
22	BA4467	conserved.hypothetical.protein	1
22	BA4577	"hydrolase,.alpha/beta.fold.family"	1
22	BA4891	conserved.hypothetical.protein	1
22	BA4957	"transcriptional.regulator,.DeoR.family"	3
22	BA5131	conserved.hypothetical.protein	1
22	BA5364	enolase	1
23	BA5393	"membrane.protein,.putative"	1
23	BA5644	"potassium.uptake.protein,.TrkA.family,.authentic.frameshift"	2
23	BA5677	"glycosyl.transferase,.group.2.family.protein"	1
23	BA5715	DNA-bi-999ing.response.regulator.YycF	1
23	pXO1-44	plasmid	3
23	BA0032	conserved.hypothetical.protein	1
23	BA0054	"stage.V.sporulation.protein.B,.putative"	1
23	BA0259	conserved.hypothetical.protein	1
23	BA0371	glycosyl.hydrolase.family.protein	1
23	BA0372	"PTS.system,.IIBC.component"	1
23	BA0373	e-999onuclease/exonuclease/phosphatase.family.protein	2
23	BA0624	"norQ.protein,.putative"	2
23	BA0625	cardiolipin.synthetase	1
23	BA0889	"alginate.O-acetyltransferase,.putative"	1
23	BA1069	penicillin-bi-999ing.protein.1	2
23	BA1071	ferrochelatase	1
23	BA1093	"S-layer.protein,.putative"	2
23	BA1333	sodium.transporter.family.protein	1
23	BA1377	"ABC.transporter,.permease.protein,.putative"	2
23	BA1486	virulence.factor.MprF	1
23	BA1492	spore.maturation.protein	1
23	BA1494	resA.protein	1
23	BA1578	conserved.hypothetical.protein	2
23	BA1643	conserved.hypothetical.protein	1
23	BA1998	NH(3)-depe-999ent.NAD(+).synthetase	1
23	BA2009	methyl-accepting.chemotaxis.protein	2
23	BA2101	conserved.hypothetical.protein	3
23	BA2778	"oxidoreductase,.short-chain.dehydrogenase/reductase.family"	4
23	BA3143	pyrroline-5-carboxylate.reductase	2
23	BA3819	conserved.hypothetical.protein	1
23	BA3921	"oxidoreductase,.short-chain.dehydrogenase/reductase.family"	2
23	BA3993	ATP-depe-999ent.DNA.helicase.RecG	1
23	BA4004	methionyl-tRNA.formyltransferase	1
23	BA4151	"cytochrome.c.oxidase,.subunit.IVB"	1
23	BA4276	conserved.hypothetical.protein.TIGR00281	2
23	BA4380	mutT/nudix.family.protein	4
23	BA4714	HAM1.protein	1
23	BA5058	"lipoprotein,.putative"	2
23	BA5086	"transcriptional.regulator,.AraC.family"	1
23	BA5301	sodium/alanine.symporter.family.protein	1
24	BA5619	spermidine.synthase	2
24	BA5623	penicillin-bi-999ing.protein	1
24	BA0055	tetrapyrrole.methylase.family.protein/MazG.family.protein	2
24	BA0300	conserved.domain.protein	1
24	BA0409	"ribonuclease.BN,.putative"	2
24	BA0537	"transcriptional.regulator,.Fur.family"	2
24	BA0728	"ABC.transporter,.substrate-bi-999ing.protein,.putative"	2
24	BA1017	TPR.domain.protein	1
24	BA1154	ornithine.aminotransferase	1
24	BA1362	conserved.hypothetical.protein	1
24	BA1542	conserved.hypothetical.protein	2
24	BA1590	methionine.aminopeptidase	1
24	BA1675	flagellar.basal-body.rod.protein.FlgC	1
24	BA1690	"chemotaxis.protein.CheV,.authentic.frameshift"	3
24	BA1735	"ABC.transporter,.substrate-bi-999ing.protein,.putative"	1
24	BA2279	"glycine.betaine/L-proline.ABC.transporter,.ATP-bi-999ing.protein"	1
24	BA2542	"ABC.transporter,.permease.protein,.putative"	1
24	BA2655	"resolvase,.degenerate"	1
24	BA2726	conserved.domain.protein	1
24	BA4058	conserved.hypothetical.protein	1
24	BA4142	conserved.hypothetical.protein	1
24	BA4196	CBS.domain.protein	1
24	BA4323	"DNA-bi-999ing.protein,.CopG.family"	1
24	BA4327	"acetyltransferase,.GNAT.family"	2
24	BA4498	"membrane.protein,.putative"	1
24	BA4843	pyruvate.kinase	1
24	BA5170	diaminopimelate.epimerase	1
24	BA5189	conserved.hypothetical.protein	1
24	BA5196	conserved.hypothetical.protein	1
24	BA5212	conserved.hypothetical.protein	3
24	BA5363	"prophage.LambdaBa03,.site-specific.recombinase,.phage.integrase.family"	2
25	BA5487	"helicase,.putative"	1
25	BA5713	YycH.protein	1
25	pXO1-47	plasmid	1
25	BA0093	RNA.polymerase.sigma-30.factor	2
25	BA0099	ribosomal.protein.L10	2
25	BA0102	"DNA-directed.RNA.polymerase,.beta.subunit"	1
25	BA0131	adenylate.kinase	1
25	BA0136	ribosomal.protein.S11	1
25	BA0163	gluconate.permease	1
25	BA0285	"bacitracin.ABC.transporter,.ATP-bi-999ing.protein,.putative"	2
25	BA0305	ATP-depe-999ent.DNA.helicase.PcrA	1
25	BA0618	"iron.compou-999.ABC.transporter,.ATP-bi-999ing.protein"	1
25	BA0821	"transcriptional.regulator,.RpiR.family,.putative"	1
25	BA0823	"PTS.system,.sucrose-specific.IIBC.component"	1
25	BA1089	"lipoate-protein.ligase.A,.putative"	1
25	BA1314	"transcriptional.regulator,.GntR.family"	1
25	BA1371	"ribonucleoside-diphosphate.reductase,.alpha.subunit,.group.I.intron-containing"	1
25	BA1375	"ABC.transporter,.permease.protein,.putative"	1
25	BA1449	"peptidase,.M23/M37.family"	1
25	BA1909	"branched-chain.amino.acid.transport.system.II.carrier.protein,.authentic.frameshift"	1
25	BA2079	alanine.racemase	1
25	BA2321	FtsK/SpoIIIE.family.protein	1
25	BA2441	conserved.hypothetical.protein	1
25	BA3051	conserved.domain.protein	4
25	BA3140	conserved.hypothetical.protein	1
25	BA3142	branched-chain.amino.acid.transport.system.II.carrier.protein	1
25	BA3614	rarD.protein	1
25	BA3912	stage.V.sporulation.protein.S	3
25	BA3923	conserved.hypothetical.protein	1
25	BA3925	"sugar.ABC.transporter,.permease.protein,.authentic.point.mutation"	1
25	BA4321	conserved.hypothetical.protein	1
25	BA4346	"2',3'-cyclic-nucleotide.2'-phosphodiesterase"	1
25	BA4747	"chemotaxis.protein.MotB,.authentic.frameshift"	1
25	BA5154	conserved.hypothetical.protein	1
25	BA5276	sensor.histidine.kinase	1
